0	1.932663
1622.76291795808	1.748308
3245.47452963468	1.525689
4868.1348110671	1.311147
6490.74374290723	1.206265
8113.30130802654	1.324404
9735.80748595367	1.662275
11358.262259222	2.123
12980.6656080208	2.620598
14603.0175142667	3.098436
16225.3179571261	3.519665
17847.5669193093	3.861812
19469.7643809674	4.115184
21091.910323444	4.282515
22714.0047278606	4.378469
24336.0475744434	4.428343
25958.0388452319	4.465598
27579.9785206037	4.528299
29201.8665815841	4.655145
30823.7030096722	4.882468
32445.4877847803	5.243254
34067.2208890455	5.767549
35688.9023027872	6.481973
37310.532007318	7.406651
38932.109983345	8.550283
40553.6362119755	9.905614
42175.110674218	11.44702
43796.5333511953	13.1305
45417.9042236372	14.89562
47039.2232726086	16.66867
48660.4904790854	18.36671
50281.7058240589	19.9022
51902.8692885291	21.18791
53523.9808532512	22.14196
55145.0404994243	22.69265
56766.0482080698	22.78293
58387.003959978	22.37409
60007.9077361164	21.44862
61628.7595175301	20.01214
63249.5592850421	18.09436
64870.3070199141	15.74957
66491.0027027003	13.05795
68111.6463147217	10.13214
69732.237836684	7.148048
71352.777249696	4.502379
72973.2645345411	3.461952
74593.6996723183	5.024873
76214.0826438732	7.523051
77834.413430176	10.0361
79454.6920123582	12.30291
81074.9183710307	14.2202
82695.0924873757	15.74178
84315.2143422248	16.85555
85935.2839165724	17.57611
87555.3011913489	17.94078
89175.2661474283	18.00647
90795.1787657299	17.84619
92415.0390273158	17.54481
